OBJECTID,POBLAC_,PROVINCIA,CANTON,PUEBLO,POBLAC_ID,x,y
1,1,SAN JOSE,SAN JOSE,SAN JOSE,101001,490635.7112,1098935.1757
2,2,SAN JOSE,SAN JOSE,URUCA,101002,488348.3394,1100506.7878
3,3,SAN JOSE,SAN JOSE,PAVAS,101003,485223.1621,1099516.709
4,4,SAN JOSE,SAN JOSE,SABANA,101004,487913.9963,1098189.3839
5,5,SAN JOSE,SAN JOSE,HATILLO,101005,488761.3446,1096316.911
6,6,SAN JOSE,SAN JOSE,SAN SEBASTIAN,101006,490546.1681,1095984.0131
7,7,SAN JOSE,SAN JOSE,ZAPOTE,101007,493656.8693,1096887.7928
8,8,SAN JOSE,SAN JOSE,SAN FRANCISCO,101008,493713.485,1095923.1433
9,9,SAN JOSE,ESCAZU,ESCAZU,102001,484662.3936,1096880.4694
10,10,SAN JOSE,ESCAZU,BEBEDERO,102002,482461.2499,1095089.6459
11,11,SAN JOSE,ESCAZU,CHIVERRAL,102003,484337.5143,1093576.6855
12,12,SAN JOSE,ESCAZU,SAN ANTONIO,102004,485253.7637,1095326.6501
13,13,SAN JOSE,ESCAZU,MASILLA,102005,484200.9969,1095466.6196
14,14,SAN JOSE,ESCAZU,TORROTILLO,102006,485819.9243,1094390.6786
15,15,SAN JOSE,ESCAZU,AGUA,102007,485919.5217,1093919.1163
16,16,SAN JOSE,ESCAZU,SAN RAFAEL,102008,485505.8869,1098305.6616
17,17,SAN JOSE,ESCAZU,BELO HORIZONTE,102009,486285.5002,1096980.604
18,18,SAN JOSE,ESCAZU,ARAYA,102010,483994.5227,1098365.1915
19,19,SAN JOSE,DESAMPARADOS,DESAMPARADOS,103001,492556.2752,1094023.1636
20,20,SAN JOSE,DESAMPARADOS,SAN JUAN DE DIOS,103002,490851.2562,1092295.3416
21,21,SAN JOSE,DESAMPARADOS,SAN RAFAEL ARRIBA,103003,491689.6708,1091890.0243
22,22,SAN JOSE,DESAMPARADOS,SAN MIGUEL,103004,493119.5356,1091387.4012
23,23,SAN JOSE,DESAMPARADOS,PATARRA,103005,496185.6978,1092809.0372
24,24,SAN JOSE,DESAMPARADOS,QUEBRADA HONDA,103006,497416.2149,1092071.0474
25,25,SAN JOSE,DESAMPARADOS,HIGUITO,103007,494056.2074,1090040.4103
26,26,SAN JOSE,DESAMPARADOS,GUATUSO,103008,496123.0162,1090827.8481
27,27,SAN JOSE,DESAMPARADOS,RODILLAL,103009,494753.5903,1089291.0777
28,28,SAN JOSE,DESAMPARADOS,LLANO,103010,492743.7695,1088975.6099
29,29,SAN JOSE,DESAMPARADOS,JERICO,103011,493288.015,1087110.0852
30,30,SAN JOSE,DESAMPARADOS,JOYA,103012,491074.8248,1085614.6681
31,31,SAN JOSE,DESAMPARADOS,GUADARRAMA,103013,491417.1483,1084157.8084
32,32,SAN JOSE,DESAMPARADOS,ROSARIO,103014,490682.9058,1082855.8398
33,33,SAN JOSE,DESAMPARADOS,VILLA NUEVA,103015,488386.0875,1080167.8928
34,34,SAN JOSE,DESAMPARADOS,BUSTAMANTE,103016,491014.4871,1078738.9898
35,35,SAN JOSE,DESAMPARADOS,FRAILES,103017,493896.2809,1078223.6808
36,36,SAN JOSE,DESAMPARADOS,SAN CRISTOBAL SUR,103018,497086.7732,1078010.801
37,37,SAN JOSE,DESAMPARADOS,SAN CRISTOBAL NORTE,103019,499324.0792,1080411.705
38,38,SAN JOSE,DESAMPARADOS,SANTA ELENA,103020,493972.496,1079708.805
39,39,SAN JOSE,PURISCAL,SANTIAGO,104001,465746.6951,1088676.9911
40,40,SAN JOSE,SAN JOSE,CACAO,104002,455665.344,1094540.4091
41,41,SAN JOSE,SAN JOSE,PORO,104003,454427.5616,1093427.8363
42,42,SAN JOSE,SAN JOSE,GRIFO BAJO,104004,458161.7379,1093757.442
43,43,SAN JOSE,SAN JOSE,GRIFO ALTO,104005,457348.8091,1092249.5799
44,44,SAN JOSE,SAN JOSE,SALITRILLOS,104006,457262.5036,1090907.1907
45,45,SAN JOSE,PURISCAL,PIEDADES,104007,460229.5619,1090869.5042
46,46,SAN JOSE,SAN JOSE,BAJO GUEVARA,104008,460943.8028,1092396.0308
47,47,SAN JOSE,SAN JOSE,DESAMPARADITOS,104009,462822.4131,1092296.7807
48,48,SAN JOSE,PURISCAL,BARBACOAS,104010,461544.8672,1089893.3006
49,49,SAN JOSE,PURISCAL,CARIT,104011,463585.6267,1090509.6404
50,50,SAN JOSE,SAN JOSE,TINAMASTE,104012,466728.4781,1091592.9054
51,51,SAN JOSE,SAN JOSE,SAN ANTONIO,104013,467240.6617,1090232.8305
52,52,SAN JOSE,SAN JOSE,CHACHON,104014,469162.9294,1088934.473
53,53,SAN JOSE,PURISCAL,PUNTA DE LANZA,104015,470670.2052,1087384.8575
