Provincia,Nombre_Provincia,Canton,Nombre_Canton,Distrito,Nombre_Distrito
1.0,San Jose,1.0,San Jose,1.0,CARMEN
1.0,San Jose,1.0,San Jose,2.0,MERCED
1.0,San Jose,1.0,San Jose,3.0,HOSPITAL
1.0,San Jose,1.0,San Jose,4.0,CATEDRAL
1.0,San Jose,1.0,San Jose,5.0,ZAPOTE
1.0,San Jose,1.0,San Jose,6.0,SAN FRANCISCO DE DOS RIOS
1.0,San Jose,1.0,San Jose,7.0,URUCA
1.0,San Jose,1.0,San Jose,8.0,MATA REDONDA
1.0,San Jose,1.0,San Jose,9.0,PAVAS
1.0,San Jose,1.0,San Jose,10.0,HATILLO
1.0,San Jose,1.0,San Jose,11.0,SAN SEBASTIAN
1.0,San Jose,2.0,Escazu,1.0,ESCAZU
1.0,San Jose,2.0,Escazu,2.0,SAN ANTONIO
1.0,San Jose,2.0,Escazu,3.0,SAN RAFAEL
1.0,San Jose,3.0,Desamparados,1.0,DESAMPARADOS
1.0,San Jose,3.0,Desamparados,2.0,SAN MIGUEL
1.0,San Jose,3.0,Desamparados,3.0,SAN JUAN DE DIOS
1.0,San Jose,3.0,Desamparados,4.0,SAN RAFAEL ARRIBA
1.0,San Jose,3.0,Desamparados,5.0,SAN ANTONIO
1.0,San Jose,3.0,Desamparados,6.0,FRAILES
1.0,San Jose,3.0,Desamparados,7.0,PATARRA
1.0,San Jose,3.0,Desamparados,8.0,SAN CRISTOBAL
1.0,San Jose,3.0,Desamparados,9.0,ROSARIO
1.0,San Jose,3.0,Desamparados,10.0,DAMAS
1.0,San Jose,3.0,Desamparados,11.0,SAN RAFAEL ABAJO
1.0,San Jose,3.0,Desamparados,12.0,GRAVILIAS
1.0,San Jose,3.0,Desamparados,13.0,LOS GUIDO
1.0,San Jose,4.0,Puriscal,1.0,SANTIAGO
1.0,San Jose,4.0,Puriscal,2.0,MERCEDES SUR
1.0,San Jose,4.0,Puriscal,3.0,BARBACOAS
1.0,San Jose,4.0,Puriscal,4.0,GRIFO ALTO
1.0,San Jose,4.0,Puriscal,5.0,SAN RAFAEL
1.0,San Jose,4.0,Puriscal,6.0,CANDELARITA
1.0,San Jose,4.0,Puriscal,7.0,DESAMPARADITOS
1.0,San Jose,4.0,Puriscal,8.0,SAN ANTONIO
1.0,San Jose,4.0,Puriscal,9.0,CHIRES
1.0,San Jose,5.0,Tarrazu,1.0,SAN MARCOS
1.0,San Jose,5.0,Tarrazu,2.0,SAN LORENZO
1.0,San Jose,5.0,Tarrazu,3.0,SAN CARLOS
1.0,San Jose,6.0,Aserri,1.0,ASERRI
1.0,San Jose,6.0,Aserri,2.0,TARBACA
1.0,San Jose,6.0,Aserri,3.0,VUELTA DE JORCO
1.0,San Jose,6.0,Aserri,4.0,SAN GABRIEL
1.0,San Jose,6.0,Aserri,5.0,LEGUA
1.0,San Jose,6.0,Aserri,6.0,MONTERREY
1.0,San Jose,6.0,Aserri,7.0,SALITRILLOS
1.0,San Jose,7.0,Mora,1.0,COLON
1.0,San Jose,7.0,Mora,2.0,GUAYABO
1.0,San Jose,7.0,Mora,3.0,TABARCIA
1.0,San Jose,7.0,Mora,4.0,PIEDRAS NEGRAS
1.0,San Jose,7.0,Mora,5.0,PICAGRES
1.0,San Jose,7.0,Mora,6.0,JARIS
1.0,San Jose,7.0,Mora,7.0,QUITIRRISI
1.0,San Jose,8.0,Goicoechea,1.0,GUADALUPE
1.0,San Jose,8.0,Goicoechea,2.0,SAN FRANCISCO
1.0,San Jose,8.0,Goicoechea,3.0,CALLE BLANCOS
1.0,San Jose,8.0,Goicoechea,4.0,MATA DE PLATANO
1.0,San Jose,8.0,Goicoechea,5.0,IPIS
1.0,San Jose,8.0,Goicoechea,6.0,RANCHO REDONDO
1.0,San Jose,8.0,Goicoechea,7.0,PURRAL
1.0,San Jose,9.0,Santa Ana,1.0,SANTA ANA
1.0,San Jose,9.0,Santa Ana,2.0,SALITRAL
1.0,San Jose,9.0,Santa Ana,3.0,POZOS
1.0,San Jose,9.0,Santa Ana,4.0,URUCA
1.0,San Jose,9.0,Santa Ana,5.0,PIEDADES
1.0,San Jose,9.0,Santa Ana,6.0,BRASIL
1.0,San Jose,10.0,Alajuelita,1.0,ALAJUELITA
1.0,San Jose,10.0,Alajuelita,2.0,SAN JOSECITO
1.0,San Jose,10.0,Alajuelita,3.0,SAN ANTONIO
1.0,San Jose,10.0,Alajuelita,4.0,CONCEPCION
1.0,San Jose,10.0,Alajuelita,5.0,SAN FELIPE
1.0,San Jose,11.0,Vasquez de Coronado,1.0,SAN ISIDRO
1.0,San Jose,11.0,Vasquez de Coronado,2.0,SAN RAFAEL
1.0,San Jose,11.0,Vasquez de Coronado,3.0,DULCE NOMBRE DE JESUS
1.0,San Jose,11.0,Vasquez de Coronado,4.0,PATALILLO
1.0,San Jose,11.0,Vasquez de Coronado,5.0,CASCAJAL
1.0,San Jose,12.0,Acosta,1.0,SAN IGNACIO
1.0,San Jose,12.0,Acosta,2.0,GUAITIL Villa
1.0,San Jose,12.0,Acosta,3.0,PALMICHAL
1.0,San Jose,12.0,Acosta,4.0,CANGREJAL
1.0,San Jose,12.0,Acosta,5.0,SABANILLAS
1.0,San Jose,13.0,Tibas,1.0,SAN JUAN
1.0,San Jose,13.0,Tibas,2.0,CINCO ESQUINAS
1.0,San Jose,13.0,Tibas,3.0,ANSELMO LLORENTE
1.0,San Jose,13.0,Tibas,4.0,LEON XIII
1.0,San Jose,13.0,Tibas,5.0,COLIMA
1.0,San Jose,14.0,Moravia,1.0,SAN VICENTE
1.0,San Jose,14.0,Moravia,2.0,SAN JERONIMO
1.0,San Jose,14.0,Moravia,3.0,LA TRINIDAD
1.0,San Jose,15.0,Montes de Oca,1.0,SAN PEDRO
1.0,San Jose,15.0,Montes de Oca,2.0,SABANILLA
1.0,San Jose,15.0,Montes de Oca,3.0,MERCEDES
1.0,San Jose,15.0,Montes de Oca,4.0,SAN RAFAEL
1.0,San Jose,16.0,Turrubares,1.0,SAN PABLO
1.0,San Jose,16.0,Turrubares,2.0,SAN PEDRO
1.0,San Jose,16.0,Turrubares,3.0,SAN JUAN DE MATA
1.0,San Jose,16.0,Turrubares,4.0,SAN LUIS
1.0,San Jose,16.0,Turrubares,5.0,CARARA
1.0,San Jose,17.0,Dota,1.0,SANTA MARIA
1.0,San Jose,17.0,Dota,2.0,JARDIN
1.0,San Jose,17.0,Dota,3.0,COPEY
1.0,San Jose,18.0,Curridabat,1.0,CURRIDABAT
1.0,San Jose,18.0,Curridabat,2.0,GRANADILLA
1.0,San Jose,18.0,Curridabat,3.0,SANCHEZ
1.0,San Jose,18.0,Curridabat,4.0,TIRRASES
1.0,San Jose,19.0,Perez Zeledon,1.0,SAN ISIDRO DE EL GENERAL
1.0,San Jose,19.0,Perez Zeledon,2.0,EL GENERAL
1.0,San Jose,19.0,Perez Zeledon,3.0,DANIEL FLORES
1.0,San Jose,19.0,Perez Zeledon,4.0,RIVAS
1.0,San Jose,19.0,Perez Zeledon,5.0,SAN PEDRO
1.0,San Jose,19.0,Perez Zeledon,6.0,PLATANARES
1.0,San Jose,19.0,Perez Zeledon,7.0,PEJIBAYE
1.0,San Jose,19.0,Perez Zeledon,8.0,CAJON
1.0,San Jose,19.0,Perez Zeledon,9.0,BARU
1.0,San Jose,19.0,Perez Zeledon,10.0,RIO NUEVO
1.0,San Jose,19.0,Perez Zeledon,11.0,PARAMO
1.0,San Jose,20.0,Leon Cortez Castro,1.0,SAN PABLO
1.0,San Jose,20.0,Leon Cortez Castro,2.0,SAN ANDRES
1.0,San Jose,20.0,Leon Cortez Castro,3.0,LLANO BONITO
1.0,San Jose,20.0,Leon Cortez Castro,4.0,SAN ISIDRO
1.0,San Jose,20.0,Leon Cortez Castro,5.0,SANTA CRUZ
1.0,San Jose,20.0,Leon Cortez Castro,6.0,SAN ANTONIO
2.0,Alajuela,1.0,Alajuela,1.0,ALAJUELA
2.0,Alajuela,1.0,Alajuela,2.0,SAN JOSE
2.0,Alajuela,1.0,Alajuela,3.0,CARRIZAL
2.0,Alajuela,1.0,Alajuela,4.0,SAN ANTONIO
2.0,Alajuela,1.0,Alajuela,5.0,GUACIMA
2.0,Alajuela,1.0,Alajuela,6.0,SAN ISIDRO
2.0,Alajuela,1.0,Alajuela,7.0,SABANILLA
2.0,Alajuela,1.0,Alajuela,8.0,SAN RAFAEL
2.0,Alajuela,1.0,Alajuela,9.0,RIO SEGUNDO
2.0,Alajuela,1.0,Alajuela,10.0,DESAMPARADOS
2.0,Alajuela,1.0,Alajuela,12.0,TAMBOR
2.0,Alajuela,1.0,Alajuela,13.0,GARITA
2.0,Alajuela,1.0,Alajuela,14.0,SARAPIQUI
2.0,Alajuela,1.0,Alajuela,11.0,TURRUCARES
2.0,Alajuela,2.0,San Ramon,1.0,SAN RAMON
2.0,Alajuela,2.0,San Ramon,2.0,SANTIAGO
2.0,Alajuela,2.0,San Ramon,3.0,SAN JUAN
2.0,Alajuela,2.0,San Ramon,4.0,PIEDADES NORTE
2.0,Alajuela,2.0,San Ramon,5.0,PIEDADES SUR
2.0,Alajuela,2.0,San Ramon,6.0,SAN RAFAEL
2.0,Alajuela,2.0,San Ramon,7.0,SAN ISIDRO
2.0,Alajuela,2.0,San Ramon,8.0,ANGELES
