REGIONES,CANTON,DISTRITO,CIUDAD_PUEBLO_CASERIO,CUADRICULA,LATITUD,LONGITUD
BRUNCA,BUENOS AIRES,BIOLLEY,ALTO SABALO,2014,8.9784,-83.0378
BRUNCA,CORREDORES,CANOAS,ALTOS DEL BRUJO,2172,8.6158,-82.8123
BRUNCA,COTO BRUS,AGUABUENA,AGUA BUENA,2114,8.752,-82.9479
BRUNCA,GOLFITO,GOLFITO,ANIMAS,2125,8.7082,-83.3115
BRUNCA,ND,ND,PASO HIGUERON,2204,8.5265,-83.0397
BRUNCA,OSA,BAHIA BALLENA,BALLENA,1944,9.116,-83.7194
BRUNCA,PEREZ ZELEDON,BARU,ALFOMBRA,1863,9.2969,-83.7646
CENTRAL METROPOLITANA,ALAJUELITA,ALAJUELITA,ALAJUELITA,1321,9.885,-84.0826
CENTRAL METROPOLITANA,ALVARADO,CAPELLADES,BAJO ABARCA,1271,9.9298,-83.7634
CENTRAL METROPOLITANA,CARTAGO,AGUACALIENTE,BARRO MORADO,1379,9.8396,-83.9003
CENTRAL METROPOLITANA,CURRIDABAT,CURRIDABAT,CIPRES,1265,9.9302,-84.037
CENTRAL METROPOLITANA,DESAMPARADOS,DESAMPARADOS,CALLE FALLAS,1321,9.885,-84.0826
CENTRAL METROPOLITANA,DOTA,COPEY,CIMA,1575,9.6588,-83.9006
CENTRAL METROPOLITANA,EL GUARCO,PATIO DE AGUA,BAJO ZOPILOTE,1426,9.7946,-84.0371
CENTRAL METROPOLITANA,ESCAZU,ESCAZU,CARRIZAL,1263,9.9302,-84.1282
CENTRAL METROPOLITANA,GOICOECHEA,CALLE BLANCOS,CALLE BLANCOS,1264,9.9302,-84.0826
CENTRAL METROPOLITANA,JIMENEZ,JUAN VI?AS,ALTO VICTORIA,1329,9.8845,-83.7179
CENTRAL METROPOLITANA,LA UNION,CONCEPCION,CONCEPCION,1266,9.9301,-83.9914
CENTRAL METROPOLITANA,LEON CORTES,LLANO BONITO,BAJO MORA,1523,9.7042,-84.1283
CENTRAL METROPOLITANA,MONTES DE OCA,MERCEDES,PAULINA,1265,9.9302,-84.037
CENTRAL METROPOLITANA,MORAVIA,SAN JERONIMO,BAJO LA HONDURA,1096,10.0658,-83.9912
CENTRAL METROPOLITANA,OREAMUNO,CIPRESES,BARRIO NUEVO,1326,9.8847,-83.8547
CENTRAL METROPOLITANA,PARAISO,CACHI,BAJO DOROTEA,1381,9.8395,-83.8092
CENTRAL METROPOLITANA,SAN JOSE,CARMEN,BARRIO AMON,1264,9.9302,-84.0826
CENTRAL METROPOLITANA,SANTA ANA,BRASIL,CANJEL,1261,9.9303,-84.2193
CENTRAL METROPOLITANA,TARRAZU,SAN CARLOS,ALTO SAN JUAN,1619,9.6138,-84.1284
CENTRAL METROPOLITANA,TIBAS,ANSELMO LLORENTE,LLORENTE,1207,9.9754,-84.0825
CENTRAL METROPOLITANA,TURRIALBA,CHIRRIPO,CAROLINA,1389,9.8387,-83.4445
CENTRAL METROPOLITANA,VAZQUEZ DE CORONAD,CASCAJAL,CANOA,1209,9.9753,-83.9913
CENTRAL OCCIDENTAL,ALAJUELA,ALAJUELA,ALAJUELA,1147,10.0207,-84.2193
CENTRAL OCCIDENTAL,ALFARO RUIZ,BRISAS,BAJO PACAYAL,862,10.2468,-84.4018
CENTRAL OCCIDENTAL,ATENAS,ATENAS,ANGELES,1201,9.9755,-84.3561
CENTRAL OCCIDENTAL,BARVA,BARVA,BARVA,1149,10.0207,-84.1281
CENTRAL OCCIDENTAL,BELEN,ASUNCION,ASUNCION,1205,9.9755,-84.1737
CENTRAL OCCIDENTAL,FLORES,BARRANTES,BARRANTES,1149,10.0207,-84.1281
CENTRAL OCCIDENTAL,GRECIA,BOLIVAR,CAJON,1034,10.1111,-84.3105
CENTRAL OCCIDENTAL,HEREDIA,HEREDIA,HEREDIA,1149,10.0207,-84.1281
CENTRAL OCCIDENTAL,NARANJO,CIRRI SUR,BAJO ARRIETA,1033,10.1111,-84.3561
CENTRAL OCCIDENTAL,PALMARES,BUENOS AIRES,BUENOS AIRES,1086,10.0659,-84.4474
CENTRAL OCCIDENTAL,POAS,CARRILLOS,ALTO CARRILLOS,1146,10.0207,-84.2649
