REGIONES,CANTON,DISTRITO,CIUDAD_PUEBLO_CASERIO,CUADRICULA,LATITUD,LONGITUD
BRUNCA,BUENOS AIRES,BIOLLEY,ALTO SABALO,2014,8.9784,-83.0378
BRUNCA,BUENOS AIRES,BIOLLEY,BAJO SABALO,2013,8.9786,-83.0833
BRUNCA,BUENOS AIRES,BIOLLEY,COLORADO,1994,9.0236,-83.0377
BRUNCA,BUENOS AIRES,BIOLLEY,NARANJOS,2013,8.9786,-83.0833
BRUNCA,BUENOS AIRES,BORUCA,ALTO DEL MOJON,1988,9.0246,-83.3104
BRUNCA,BUENOS AIRES,BORUCA,BORUCA,2008,8.9794,-83.3106
BRUNCA,BUENOS AIRES,BORUCA,CAJON,2027,8.9343,-83.3562
BRUNCA,BUENOS AIRES,BORUCA,CHAMBA,1987,9.0247,-83.3559
BRUNCA,BUENOS AIRES,BORUCA,CHANGUENITA,2009,8.9792,-83.2651
BRUNCA,BUENOS AIRES,BORUCA,CURRE,2009,8.9792,-83.2651
BRUNCA,BUENOS AIRES,BORUCA,DOBONCRAGUA (VERAGUAS),1970,9.0698,-83.3103
BRUNCA,BUENOS AIRES,BORUCA,KAMANKRAGUA,1969,9.0699,-83.3558
BRUNCA,BUENOS AIRES,BORUCA,LAGARTO,2008,8.9794,-83.3106
BRUNCA,BUENOS AIRES,BORUCA,MANO DE TIGRE,1988,9.0246,-83.3104
BRUNCA,BUENOS AIRES,BORUCA,PUERTO NUEVO,2008,8.9794,-83.3106
BRUNCA,BUENOS AIRES,BORUCA,SAN JOAQUIN,1987,9.0247,-83.3559
BRUNCA,BUENOS AIRES,BORUCA,SANTA CRUZ,1988,9.0246,-83.3104
BRUNCA,BUENOS AIRES,BORUCA,TIGRE,1970,9.0698,-83.3103
BRUNCA,BUENOS AIRES,BORUCA,TRES RIOS,1987,9.0247,-83.3559
BRUNCA,BUENOS AIRES,BRUNKA,ACHIOTE,1894,9.2507,-83.3552
BRUNCA,BUENOS AIRES,BRUNKA,ALTO ACHIOTE,1915,9.2055,-83.3553
